,MAE,Estimator,n
369,71.59986426841732,MPLE,128
370,66.19755591166705,MLE,256
371,40.23952895514721,MPLE,256
372,30.883527149437562,MLE,512
373,29.722224824085252,MPLE,512
374,18.90301866350744,MLE,1024
375,17.942842617917133,MPLE,1024
376,10.290195214590348,MLE,2048
377,11.312431936559722,MPLE,2048
378,7.586488111150757,MLE,4096
379,7.680938745261177,MPLE,4096
380,6.106109047209637,MLE,8192
381,6.4183891106488975,MPLE,8192
382,3.773434442001862,MLE,16384
383,4.057590345140777,MPLE,16384
384,937.1511774034119,MLE,128
385,95.15192739205504,MPLE,128
386,150.9705517269266,MLE,256
387,54.92922326280901,MPLE,256
388,105.66397654629564,MLE,512
389,35.30138215319308,MPLE,512
390,92.728305198059,MLE,1024
391,27.300166266022096,MPLE,1024
392,26.266341943883102,MLE,2048
393,23.68949411671984,MPLE,2048
394,33.90707638946681,MLE,4096
395,13.045327018938243,MPLE,4096
396,16.566955334493375,MLE,8192
397,16.283710313986077,MPLE,8192
398,9.733178444517225,MLE,16384
399,15.816688834707788,MPLE,16384
400,627.885352562984,MLE,128
401,120.69759551226696,MPLE,128
402,467.8069080758491,MLE,256
403,91.66405200139032,MPLE,256
404,251.61092254119234,MLE,512
405,64.73274124532236,MPLE,512
406,107.60333703490477,MLE,1024
407,28.9907349136176,MPLE,1024
408,40.64903669476884,MLE,2048
409,20.836958451882012,MPLE,2048
410,38.07346053626823,MLE,4096
411,17.700948040457778,MPLE,4096
412,25.301113610747176,MLE,8192
413,17.36124759316696,MPLE,8192
414,11.72867307610442,MLE,16384
415,10.759420308825556,MPLE,16384
416,301.1526701088411,MLE,128
417,94.94573507083382,MPLE,128
418,269.0849400219106,MLE,256
419,85.88185766991629,MPLE,256
420,184.42039775502423,MLE,512
421,49.591835508255045,MPLE,512
422,32.471256567174244,MLE,1024
423,29.52343393967866,MPLE,1024
424,22.73737876921151,MLE,2048
425,21.24294812974487,MPLE,2048
426,10.573345268833934,MLE,4096
427,11.706022956721139,MPLE,4096
428,8.012890202420058,MLE,8192
429,9.504214288630793,MPLE,8192
430,5.541126340244603,MLE,16384
431,5.684336242087024,MPLE,16384
432,202.90277514162912,MLE,128
433,126.24340475801418,MPLE,128
434,52.624010585093394,MLE,256
435,45.354323669708705,MPLE,256
436,64.82092087164014,MLE,512
437,43.52141792032597,MPLE,512
438,17.081781839257292,MLE,1024
439,16.27579769101378,MPLE,1024
440,16.81558781135824,MLE,2048
441,16.2618069941203,MPLE,2048
442,12.660727337809497,MLE,4096
443,12.777142806473833,MPLE,4096
444,7.980310519862141,MLE,8192
445,7.691642997150734,MPLE,8192
446,4.631909395270805,MLE,16384
447,4.699021444319794,MPLE,16384
448,122.52726087222764,MLE,128
449,48.48569936945002,MPLE,128
450,71.87992876110236,MLE,256
451,36.02351559597482,MPLE,256
452,59.413763096451895,MLE,512
453,35.412611103738705,MPLE,512
454,24.23841865003256,MLE,1024
455,25.27907189834294,MPLE,1024
456,13.656709285491837,MLE,2048
457,13.940768386411433,MPLE,2048
458,8.116297092674046,MLE,4096
459,7.887012323612287,MPLE,4096
460,7.593727057114833,MLE,8192
461,9.345711815148839,MPLE,8192
462,3.9253733601156235,MLE,16384
463,4.0521238185527935,MPLE,16384
464,49.21782142450331,MLE,128
465,56.93538690873913,MPLE,128
466,40.69337282067132,MLE,256
467,41.39874510445997,MPLE,256
468,23.23707703857403,MLE,512
469,26.322989440869968,MPLE,512
470,14.30063087137941,MLE,1024
471,14.33280703016236,MPLE,1024
472,10.099684308533504,MLE,2048
473,9.75009912773595,MPLE,2048
474,7.994923274774889,MLE,4096
475,8.220997041425923,MPLE,4096
476,6.014066039330324,MLE,8192
477,6.123336821470976,MPLE,8192
478,3.4014062423714124,MLE,16384
479,3.6178223902992226,MPLE,16384
480,36.7331208410303,MLE,128
481,40.4867713620475,MPLE,128
482,30.83920049750268,MLE,256
483,29.376591338861836,MPLE,256
484,22.249114487949694,MLE,512
485,24.77686692346778,MPLE,512
486,13.258769706629936,MLE,1024
487,13.50761113694618,MPLE,1024
488,8.221069925316444,MLE,2048
489,8.406223448215187,MPLE,2048
490,6.561876477766931,MLE,4096
491,6.9008624639543275,MPLE,4096
492,5.835904352926912,MLE,8192
493,5.7368388154404135,MPLE,8192
494,2.820297118941406,MLE,16384
495,2.8807131528746464,MPLE,16384
496,490.5781799390242,MLE,128
497,81.79228029827757,MPLE,128
498,556.0855127478453,MLE,256
499,93.94794461650474,MPLE,256
500,498.4117989099415,MLE,512
501,49.224181091323764,MPLE,512
502,216.49391066207187,MLE,1024
503,39.904435454711994,MPLE,1024
504,51.199700172701775,MLE,2048
505,25.08157396756245,MPLE,2048
506,51.11406792921219,MLE,4096
507,22.124856236622964,MPLE,4096
508,24.355107574537627,MLE,8192
509,19.106263069589293,MPLE,8192
510,38.49464104048717,MLE,16384
511,13.170219269635629,MPLE,16384
512,441.88169221000015,MLE,128
513,67.90477583741931,MPLE,128
514,106.24533459729543,MLE,256
515,44.44868953356499,MPLE,256
516,68.08502975551406,MLE,512
517,46.23874790554575,MPLE,512
518,34.823927342765515,MLE,1024
519,27.661557344417,MPLE,1024
520,22.546852221354513,MLE,2048
521,19.80165784031622,MPLE,2048
522,14.295250151152295,MLE,4096
523,10.797711561999789,MPLE,4096
524,7.590513616923809,MLE,8192
525,7.648902543370496,MPLE,8192
526,7.123404689958813,MLE,16384
527,7.394752005962551,MPLE,16384
528,37.518765341042496,MLE,128
529,39.638081170216616,MPLE,128
530,20.133308761372707,MLE,256
531,22.87258310016792,MPLE,256
532,17.46897641802519,MLE,512
533,17.554735471941758,MPLE,512
534,10.495388980218154,MLE,1024
535,10.712516240462092,MPLE,1024
536,6.759617690452901,MLE,2048
537,6.933589075658929,MPLE,2048
538,5.852554752585726,MLE,4096
539,5.995504506771903,MPLE,4096
540,3.3534539179920557,MLE,8192
541,3.2466395925419724,MPLE,8192
542,2.2688026972520414,MLE,16384
543,2.3303122253591173,MPLE,16384
544,192.86196571075882,MLE,128
545,58.560751761362916,MPLE,128
546,606.048699075901,MLE,256
547,83.59813853074868,MPLE,256
548,232.32621241782667,MLE,512
549,50.500774911883894,MPLE,512
550,126.15847901021324,MLE,1024
551,39.904867606587366,MPLE,1024
552,31.261597394781116,MLE,2048
553,24.031283188598106,MPLE,2048
554,24.584649805164545,MLE,4096
555,15.03607437984081,MPLE,4096
556,9.749500697948802,MLE,8192
557,16.039716448157243,MPLE,8192
558,11.200415988688118,MLE,16384
559,14.04873407596807,MPLE,16384
560,660.1620420529206,MLE,128
561,37.875460866573256,MPLE,128
562,523.7660915458359,MLE,256
563,42.79604751250236,MPLE,256
564,244.59514886876076,MLE,512
565,56.97617857110493,MPLE,512
566,75.50734393724885,MLE,1024
567,34.45631876380014,MPLE,1024
568,29.03857571037025,MLE,2048
569,28.757311163327614,MPLE,2048
570,17.382316212278752,MLE,4096
571,20.288442600028162,MPLE,4096
572,14.652907284362517,MLE,8192
573,16.904214078279487,MPLE,8192
574,11.91988653385427,MLE,16384
575,19.000097264104767,MPLE,16384
576,105.06814788400811,MLE,128
577,64.17719676078063,MPLE,128
578,26.989403361268398,MLE,256
579,26.551315475770227,MPLE,256
580,14.75639755134521,MLE,512
581,15.574941814279377,MPLE,512
582,10.949724814772889,MLE,1024
583,10.354701827306991,MPLE,1024
584,8.931398603500487,MLE,2048
585,8.8594232091276,MPLE,2048
586,5.619229523131338,MLE,4096
587,5.944453685185851,MPLE,4096
588,4.775780821011473,MLE,8192
589,5.0143900289877,MPLE,8192
590,3.068521516719389,MLE,16384
591,3.124003001151867,MPLE,16384
592,393.19805729729455,MLE,128
593,70.75027172412034,MPLE,128
594,156.37386631237231,MLE,256
595,60.85422808144967,MPLE,256
596,181.5646309230255,MLE,512
597,37.380243377294974,MPLE,512
598,107.36245442276307,MLE,1024
599,35.55929191118371,MPLE,1024
600,69.16082197353526,MLE,2048
601,24.28500050029852,MPLE,2048
602,41.14709040065961,MLE,4096
603,25.840429748827603,MPLE,4096
604,20.2934252542777,MLE,8192
605,19.465769390660107,MPLE,8192
606,17.87718291816299,MLE,16384
607,26.878809572002822,MPLE,16384
608,37.50092873771456,MLE,128
609,38.250415615946096,MPLE,128
610,36.06967290015743,MLE,256
611,25.62122435700631,MPLE,256
612,29.758594726162883,MLE,512
613,24.930980480797274,MPLE,512
614,13.770096418485407,MLE,1024
615,14.18422350419652,MPLE,1024
616,9.299068222010401,MLE,2048
617,9.14378786862883,MPLE,2048
618,8.13223185613827,MLE,4096
619,8.365769635689073,MPLE,4096
620,4.0121047745329275,MLE,8192
621,4.041247554732852,MPLE,8192
622,3.724547122834921,MLE,16384
623,3.904938009828709,MPLE,16384
624,218.7263503947683,MLE,128
625,81.5445518133648,MPLE,128
626,49.92781292032605,MLE,256
627,38.07892627935913,MPLE,256
628,39.17232067120869,MLE,512
629,22.207203202089197,MPLE,512
630,19.872091419453923,MLE,1024
631,17.95873035098226,MPLE,1024
632,9.801022784332009,MLE,2048
633,10.190286351242072,MPLE,2048
634,10.171117971268016,MLE,4096
635,9.897360904794988,MPLE,4096
636,7.191147701610314,MLE,8192
637,6.061229610544174,MPLE,8192
638,5.680281931474946,MLE,16384
639,4.921247191626503,MPLE,16384
640,344.2972462476704,MLE,128
641,105.3304850102176,MPLE,128
642,239.00002361256225,MLE,256
643,57.755081361958354,MPLE,256
644,193.65409198908725,MLE,512
645,70.57993855335664,MPLE,512
646,131.92706192670258,MLE,1024
647,37.88854690689037,MPLE,1024
648,121.16050378667101,MLE,2048
649,38.88123028881946,MPLE,2048
650,21.063869638842256,MLE,4096
651,18.26784572476643,MPLE,4096
652,20.31344928984075,MLE,8192
653,24.73669594745429,MPLE,8192
654,10.673536979838458,MLE,16384
655,13.448018789540923,MPLE,16384
656,1905.3812499298297,MLE,128
657,37.12039448752018,MPLE,128
658,220.0677569829758,MLE,256
659,85.16290871874288,MPLE,256
660,136.62513378635632,MLE,512
661,34.12268364822947,MPLE,512
662,51.40803617883108,MLE,1024
663,30.250188400515324,MPLE,1024
664,38.10304659239067,MLE,2048
665,22.4151457349916,MPLE,2048
666,12.84738724432017,MLE,4096
667,17.345675743784632,MPLE,4096
668,11.798033788988427,MLE,8192
669,13.419171381234865,MPLE,8192
670,8.50650295076273,MLE,16384
671,10.420926682961454,MPLE,16384
672,428.0723490392689,MLE,128
673,143.35699308891006,MPLE,128
674,976.0657079660383,MLE,256
675,42.71030505707114,MPLE,256
676,271.0617517780923,MLE,512
677,69.5109196907544,MPLE,512
678,305.0479095708734,MLE,1024
679,31.518976644621688,MPLE,1024
680,96.51710412150236,MLE,2048
681,24.612986732669953,MPLE,2048
682,28.07016038626557,MLE,4096
683,22.137192512822097,MPLE,4096
684,16.40391452573679,MLE,8192
685,28.755275854301466,MPLE,8192
686,16.306334539794108,MLE,16384
687,15.139964371843437,MPLE,16384
688,409.5884082219618,MLE,128
689,97.14528230307772,MPLE,128
690,129.1132327473174,MLE,256
691,61.139610652299666,MPLE,256
692,46.82773693299379,MLE,512
693,29.869759504049203,MPLE,512
694,18.080158601104387,MLE,1024
695,16.44374203215859,MPLE,1024
696,15.564767879037495,MLE,2048
697,15.927725723457245,MPLE,2048
698,11.846517790538705,MLE,4096
699,11.689172100326752,MPLE,4096
700,6.3824027699033135,MLE,8192
701,6.796054307912239,MPLE,8192
702,4.975468275502866,MLE,16384
703,8.249143198696375,MPLE,16384
704,299.4280320764245,MLE,128
705,78.75410480010125,MPLE,128
706,179.56350276028365,MLE,256
707,75.16742430916408,MPLE,256
708,77.14670098249567,MLE,512
709,41.2073749159609,MPLE,512
710,58.46184068750775,MLE,1024
711,26.422520643992605,MPLE,1024
712,44.85200346002602,MLE,2048
713,19.37715358186051,MPLE,2048
714,27.59635934473567,MLE,4096
715,19.698775972676447,MPLE,4096
716,10.421154656613158,MLE,8192
717,10.027051044984013,MPLE,8192
718,5.643740381758777,MLE,16384
719,7.622384992565257,MPLE,16384
720,76.49778305614184,MLE,128
721,68.90285803779888,MPLE,128
722,88.41777703119271,MLE,256
723,68.38439407670187,MPLE,256
724,24.99435257154721,MLE,512
725,25.04237314425468,MPLE,512
726,16.799005623799175,MLE,1024
727,16.724883057341344,MPLE,1024
728,13.433534719573327,MLE,2048
729,13.644176860550433,MPLE,2048
730,10.230520871341474,MLE,4096
731,10.572108116843367,MPLE,4096
732,5.223371353688389,MLE,8192
733,5.222239820981141,MPLE,8192
734,4.142764094819974,MLE,16384
735,4.183495889574434,MPLE,16384
736,841.6804470229617,MLE,128
737,96.96998973558979,MPLE,128
738,1101.0133576694261,MLE,256
739,80.19180693224847,MPLE,256
740,1349.6698122500472,MLE,512
741,60.285499239142894,MPLE,512
742,252.02898396199,MLE,1024
743,38.72392512799238,MPLE,1024
744,127.93926275888938,MLE,2048
745,41.972493828854724,MPLE,2048
746,66.65427065357592,MLE,4096
747,31.896635410966166,MPLE,4096
748,27.358593532851195,MLE,8192
749,27.04591197186337,MPLE,8192
750,15.99415906899127,MLE,16384
751,29.95206411078202,MPLE,16384
752,205.05804569233098,MLE,128
753,76.82614422509901,MPLE,128
754,449.2139255138218,MLE,256
755,80.81725213737792,MPLE,256
756,222.37784241647466,MLE,512
757,35.50074497697499,MPLE,512
758,68.18693347452034,MLE,1024
759,23.375409016381468,MPLE,1024
760,40.865164818836924,MLE,2048
761,18.018883120639654,MPLE,2048
762,20.911411097734764,MLE,4096
763,17.36220598797515,MPLE,4096
764,17.31346030411529,MLE,8192
765,13.36022851455149,MPLE,8192
766,8.204669099352612,MLE,16384
767,12.10417462674432,MPLE,16384
768,177.98750000308817,MLE,128
769,63.521739664552385,MPLE,128
770,101.79920120916321,MLE,256
771,51.78837417246517,MPLE,256
772,39.25814007186304,MLE,512
773,32.209092077784995,MPLE,512
774,20.73450874486053,MLE,1024
775,20.192619009003156,MPLE,1024
776,16.537100781274365,MLE,2048
777,17.209275145689737,MPLE,2048
778,9.3244668040941,MLE,4096
779,9.214365004978916,MPLE,4096
780,5.366416248343821,MLE,8192
781,5.982640225497244,MPLE,8192
782,5.6498508752179,MLE,16384
783,4.170473376265335,MPLE,16384
784,231.13417915599544,MLE,128
785,77.70289683275564,MPLE,128
786,66.33842793182919,MLE,256
787,47.75973107271662,MPLE,256
788,96.5870954674304,MLE,512
789,39.876185876033155,MPLE,512
790,17.05529990261413,MLE,1024
791,17.109563799057693,MPLE,1024
792,10.588414073393597,MLE,2048
793,11.219394983505877,MPLE,2048
794,8.823233853377047,MLE,4096
795,9.539366710025433,MPLE,4096
796,6.5273439207723065,MLE,8192
797,6.104689622954398,MPLE,8192
798,3.639587125465752,MLE,16384
799,3.521740097765737,MPLE,16384
