MAE,Estimator,n
73.87532664691933,MLE,4096
1019.8018493396663,MPLE,4096
240.60853539108015,MLE,8192
253.6059275166672,MPLE,8192
24.410517029350522,MLE,16384
42.758313990154804,MPLE,16384
379.97097625989875,MLE,64
248.77374731295117,MPLE,64
266.08974268734937,MLE,128
1247.5386520693748,MPLE,128
61.281370581604556,MLE,256
67.28213284829617,MPLE,256
29.02447996504621,MLE,512
30.536443169599956,MPLE,512
19.434697745337164,MLE,1024
22.224374035257124,MPLE,1024
15.112030167163804,MLE,2048
16.39400683497057,MPLE,2048
11.891741832687648,MLE,4096
15.637043821096421,MPLE,4096
5.83141053555768,MLE,8192
7.185679527917313,MPLE,8192
5.444866892304739,MLE,16384
8.360927138223984,MPLE,16384
21.07889992606516,MLE,64
17.854611317875104,MPLE,64
60.84419959842567,MLE,128
69.50322576600341,MPLE,128
538.0541634819762,MLE,256
985.7856655237376,MPLE,256
42.50512416569248,MLE,512
91.565349391896,MPLE,512
57.35562141241153,MLE,1024
83.31459818012775,MPLE,1024
48.26610697810543,MLE,2048
31.19130020513159,MPLE,2048
19.619407082778984,MLE,4096
57.515506918740705,MPLE,4096
15.193256228463593,MLE,8192
44.58075474592177,MPLE,8192
12.90659723628908,MLE,16384
18.812223347400966,MPLE,16384
136.98175290119536,MLE,64
550.198553162451,MPLE,64
187.6115336813762,MLE,128
196.30595892984417,MPLE,128
87.79905684131663,MLE,256
2278.849383432742,MPLE,256
134.61982542913668,MLE,512
150.1746619791663,MPLE,512
110.32064745907552,MLE,1024
121.69600559631438,MPLE,1024
35.22317075100855,MLE,2048
52.54217035771257,MPLE,2048
55.661578122060725,MLE,4096
87.07762153904545,MPLE,4096
9.017526626943376,MLE,8192
10.261908716784333,MPLE,8192
18.15905929527589,MLE,16384
19.137297014899843,MPLE,16384
355.2759099755723,MLE,64
332.50611031907,MPLE,64
909.7883618743871,MLE,128
1289.475102190067,MPLE,128
17.95773153957886,MLE,256
19.21216977577498,MPLE,256
35.690300028833505,MLE,512
38.38324768014591,MPLE,512
10.061815471481868,MLE,1024
9.038710350752305,MPLE,1024
12.625029758007122,MLE,2048
12.935728852618276,MPLE,2048
4.706240856677135,MLE,4096
4.674587385655148,MPLE,4096
3.976295036583886,MLE,8192
4.2237994914323425,MPLE,8192
2.9259485841634882,MLE,16384
3.106721156488895,MPLE,16384
151.40765671341856,MLE,64
152.51683905662554,MPLE,64
99.38526106571871,MLE,128
98.6848625669336,MPLE,128
264.5650219456773,MLE,256
251.21306694236256,MPLE,256
11.755351842028702,MLE,512
12.060617652058156,MPLE,512
14.65513681436985,MLE,1024
15.811811484930029,MPLE,1024
6.723489769453235,MLE,2048
6.869337386910017,MPLE,2048
3.5839819724631714,MLE,4096
3.8690265699690345,MPLE,4096
4.521878967224877,MLE,8192
4.5434283129045365,MPLE,8192
3.9056116536202135,MLE,16384
3.872762050607245,MPLE,16384
